sha,date,chrome-version,chrome,firefox-version,firefox,webkitgtk-version,webkitgtk
6f5c3e77e657831191c9988ce933f7f40f4e6995,2021-09-05,93.0.4577.63,0.9642169280133125,91.0.2,0.9842187334813404,2.32.3 (r280241),0.9030390228953001
6f5c3e77e657831191c9988ce933f7f40f4e6995,2021-09-06,93.0.4577.63,0.9642169280133125,91.0.2,0.9842187334813404,2.32.3 (r280241),0.9030390228953001
43ef57c6f626b7af5fc3cd5cfbb442ee33607f16,2021-09-12,93.0.4577.63,0.9642169280133125,92.0,0.9842187334813404,2.32.3 (r280241),0.9030390228953001
43ef57c6f626b7af5fc3cd5cfbb442ee33607f16,2021-09-13,93.0.4577.63,0.9642169280133125,92.0,0.9842187334813404,2.32.3 (r280241),0.9030390228953001
b9a798a0c76f3a4a2356fe82d50e41d44dcfbdd8,2021-10-24,95.0.4638.54,0.9690377335952979,93.0,0.9850750607886669,2.34.0 (r282869),0.9175724624249838
b9a798a0c76f3a4a2356fe82d50e41d44dcfbdd8,2021-10-25,95.0.4638.54,0.9690377335952979,93.0,0.9850750607886669,2.34.0 (r282869),0.9175724624249838
ff0fb2a6a742d2c9a1abcf9723382dac04979ce6,2021-10-31,95.0.4638.69,0.9690377335952979,93.0,0.9850750607886669,2.34.0 (r282869),0.9175724624249838
3904336d37ed6f480fc8879ea8bd5683a39ede3d,2021-11-07,95.0.4638.69,0.9690377335952979,94.0.1,0.9853790041230573,2.34.0 (r282869),0.9175724624249838
d84fcf400fef8c7431d7745e7dc2fa1358910f1a,2021-11-14,95.0.4638.69,0.9690377335952979,94.0.1,0.9853790041230573,2.34.0 (r282869),0.9175724624249838
d84fcf400fef8c7431d7745e7dc2fa1358910f1a,2021-11-15,95.0.4638.69,0.9690377335952979,94.0.1,0.9853790041230573,2.34.0 (r282869),0.9175724624249838
6fe9cd43f5f85cfe2fc3ad4fbe1703d83d7a9409,2021-11-21,96.0.4664.45,0.9690377335952979,94.0.1,0.9853790041230573,2.34.0 (r282869),0.9175724624249838
6fe9cd43f5f85cfe2fc3ad4fbe1703d83d7a9409,2021-11-22,96.0.4664.45,0.9690377335952979,94.0.1,0.9853790041230573,2.34.0 (r282869),0.9175724624249838
b772ca18865a09f3307440a9a756cb08fc0028a6,2021-11-28,96.0.4664.45,0.9690377335952979,94.0.2,0.9853790041230573,2.34.2 (r286145),0.9175724624249838
b772ca18865a09f3307440a9a756cb08fc0028a6,2021-11-29,96.0.4664.45,0.9690377335952979,94.0.2,0.9853790041230573,2.34.2 (r286145),0.9175724624249838
d1c516b96f166825b0c12fcb49d0cba7360a9ed5,2021-12-05,96.0.4664.45,0.9709406831671342,94.0.2,0.9863304789089755,2.34.2 (r286145),0.9175724624249838
d1c516b96f166825b0c12fcb49d0cba7360a9ed5,2021-12-06,96.0.4664.45,0.9709406831671342,94.0.2,0.9863304789089755,2.34.2 (r286145),0.9175724624249838
8cf77b627349cb554596ac3f39db05ec342f5d48,2021-12-12,96.0.4664.93,0.9709406831671342,95.0,0.9872819536948937,2.34.2 (r286145),0.9175724624249838
8cf77b627349cb554596ac3f39db05ec342f5d48,2021-12-13,96.0.4664.93,0.9709406831671342,95.0,0.9872819536948937,2.34.2 (r286145),0.9175724624249838
6259400ce70fd41d25bcf5db624a04db854f304e,2021-12-19,96.0.4664.110,0.9709406831671342,95.0.1,0.9872819536948937,2.34.2 (r286145),0.9175724624249838
277411f6872b70b83930f75650f9c2e78df794bf,2021-12-26,96.0.4664.110,0.9755394779657388,95.0.2,0.9823660006343166,2.34.3 (r287256),0.9218540989616156
277411f6872b70b83930f75650f9c2e78df794bf,2021-12-27,96.0.4664.110,0.9755394779657388,95.0.2,0.9823660006343166,2.34.3 (r287256),0.9218540989616156
e31b68f19b97c7e7040e40334f96802bf9b77f6d,2022-01-02,96.0.4664.110,0.9755394779657388,95.0.2,0.9823660006343166,2.34.3 (r287256),0.9218540989616156
e31b68f19b97c7e7040e40334f96802bf9b77f6d,2022-01-03,96.0.4664.110,0.9755394779657388,95.0.2,0.9823660006343166,2.34.3 (r287256),0.9218540989616156
9e89f1e425dd5dcc1526fb9cb89e7e7aa8036e89,2022-01-09,97.0.4692.71,0.978489049802085,95.0.2,0.9823660006343166,2.34.3 (r287256),0.9218540989616156
9e89f1e425dd5dcc1526fb9cb89e7e7aa8036e89,2022-01-10,97.0.4692.71,0.978489049802085,95.0.2,0.9823660006343166,2.34.3 (r287256),0.9218540989616156
3283a9c2de5cdf5cc642ccf8b1b2752381b6d8ba,2022-01-16,97.0.4692.71,0.978489049802085,96.0.1,0.9842689502061529,2.34.3 (r287256),0.9218540989616156
